Title:
Authors:
Table:
================================================================================
Byte-by-byte Description of file: table.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
   1- 3  I3         ---    ID             [1/397] Source ID
   5- 9  F5.2       mJy    $S_{\nu,flux}$ [0.04/10.89] Dendrogram countour flux
  11-14  F4.2   mJy.beam-1 $S_{\nu,peak}$ [0.16/4.7] Brightest pixel flux
  16-20  F5.3   mJy.beam-1 $S_{\nu, err}$ [0.03/0.07] Noise
  22-26  F5.3       arcsec FWHM$_{maj}$   [0.03/0.29] Source FWHM (maj)
  28-32  F5.3       arcsec FWHM$_{min}$   [0.01/0.25] Source FWHM (min)
  34-65  A32        ---    RA (ICRS)      RA coordinate (ICRS)
  67-98  A32        ---    Dec (ICRS)     Dec coordinate (ICRS)
    100  I1         ---    Score          [1/2] 2=detection; 1=likely detection
102-110  A9         ---    G18            ? Source ID match from G18 catalog
112-113  I2         K      $T_B$          [3/94] Brightness temperature
115-120  F6.2       ---    $\alpha$       [1.3/4.5] Spectral index
122-127  F6.2       ---    $\alpha_{err}$ [0.03/0.4] Spectral index error
129-133  F5.1      solMass Mass           [1.1/163.0] Core mass
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
326  0.51 0.30 0.032 0.113 0.071 17:47:19.6632                    -28:22:38.928                    1            6   3.70   0.30   9.4
327  0.26 0.20 0.032 0.097 0.055 17:47:18.3528                    -28:22:18.912                    2            4   4.20   0.30   5.8
328  2.83 1.03 0.032 0.129 0.100 17:47:18.504                     -28:22:11.46                     2 103       20   2.20   0.30  43.8
329  1.29 0.38 0.032 0.228 0.074 17:47:18.5112                    -28:22:11.1                      1            7   3.50   0.30  22.4
330  0.33 0.51 0.032 0.068 0.036 17:47:18.4008                    -28:22:10.956                    1 104       10   3.30   0.30   5.5
331  1.18 0.70 0.032 0.131 0.078 17:47:18.5328                    -28:22:10.74                     2           14   2.70   0.30  18.7
332  0.07 0.18 0.032 0.050 0.031 17:47:18.4464                    -28:22:10.632                    1            3   4.50   0.30   1.9
333  0.37 0.27 0.033 0.106 0.060 17:47:20.1456                    -28:22:41.736                    1            5    nan    nan   7.1
336  0.44 0.29 0.033 0.114 0.061 17:47:20.0952                    -28:22:41.376                    1            5    nan    nan   8.3
337  0.87 0.63 0.033 0.093 0.064 17:47:20.0712                    -28:22:41.268                    2           12    nan    nan  14.0
338  0.17 0.22 0.033 0.076 0.044 17:47:19.728                     -28:22:41.232                    1            4    nan    nan   3.8
339  0.91 0.84 0.033 0.092 0.057 17:47:20.0616                    -28:22:41.196                    2           16    nan    nan  14.4
341  0.16 0.19 0.033 0.079 0.042 17:47:19.6176                    -28:22:41.052                    1            3    nan    nan   4.0
342  1.60 0.95 0.033 0.131 0.080 17:47:20.0496                    -28:22:40.944                    2           19    nan    nan  25.0
343  0.37 0.30 0.033 0.100 0.057 17:47:19.9968                    -28:22:40.764                    1            6   4.10   0.30   6.8
344  0.44 0.48 0.033 0.074 0.060 17:47:19.8576                    -28:22:40.584                    2            9   3.60   0.30   7.2
346  1.12 0.83 0.033 0.092 0.079 17:47:19.7376                    -28:22:40.44                     2           16   3.00   0.30  17.6
347  1.03 0.59 0.033 0.139 0.085 17:47:19.7544                    -28:22:40.296                    2           12   3.30   0.30  16.7
348  0.08 0.20 0.033 0.045 0.034 17:47:18.3072                    -28:22:11.64                     1            4    nan    nan   1.9
349  0.42 0.30 0.033 0.090 0.074 17:47:18.3696                    -28:22:10.776                    1            6   4.10   0.30   7.9
350  0.21 0.30 0.033 0.059 0.052 17:47:18.3912                    -28:22:10.524                    2            6   4.10   0.30   3.9
351  0.29 0.34 0.033 0.071 0.055 17:47:20.0736                    -28:21:56.16                     2            6    nan    nan   5.2
352  0.13 0.16 0.032 0.057 0.052 17:47:20.4792                    -28:22:42.816                    2            3    nan    nan   3.9
353  0.18 0.19 0.032 0.073 0.052 17:47:20.1768                    -28:22:42.312                    1            3    nan    nan   4.2
354  0.25 0.28 0.032 0.071 0.057 17:47:20.4504                    -28:22:42.096                    2            5    nan    nan   4.7
355  0.45 0.37 0.032 0.093 0.067 17:47:20.1192                    -28:22:42.096                    2            7    nan    nan   7.9
356  0.38 0.25 0.032 0.122 0.055 17:47:19.0872                    -28:22:41.34                     2            4    nan    nan   7.5
357  0.20 0.23 0.032 0.087 0.042 17:47:18.072                     -28:22:12.576                    2            4    nan    nan   4.2
358  0.09 0.19 0.032 0.045 0.038 17:47:18.0624                    -28:22:12.612                    1            3    nan    nan   2.2
359  0.49 0.32 0.032 0.096 0.077 17:47:18.0936                    -28:22:12.324                    2            6    nan    nan   8.9
360  0.60 0.46 0.032 0.105 0.062 17:47:18.2304                    -28:22:10.38                     2 105        9    nan    nan  10.0
361  0.13 0.21 0.032 0.054 0.048 17:47:18.8328                    -28:22:40.152                    1            4    nan    nan   2.8
362  1.46 0.71 0.032 0.116 0.106 17:47:17.9472                    -28:22:19.416                    2 137       14    nan    nan  23.1
363  0.26 0.23 0.032 0.092 0.056 17:47:17.9808                    -28:22:19.308                    1            4    nan    nan   5.4
364  0.18 0.23 0.032 0.061 0.056 17:47:17.94                      -28:22:13.368                    2            4    nan    nan   3.8
365  0.92 0.50 0.032 0.131 0.083 17:47:17.9616                    -28:22:13.224                    2           10    nan    nan  15.1
366  0.22 0.19 0.032 0.083 0.058 17:47:17.9856                    -28:22:13.224                    1            3    nan    nan   5.3
