Title:
Authors:
Table:
================================================================================
Byte-by-byte Description of file: catNB6_full.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
   1- 3  I3         ---    ID             [1/340]? Source ID
   5- 9  F5.1       mJy    $S_{\nu,flux}$ [0.8/133.0]? Dendrogram contour flux
  11-14  F4.1   mJy.beam-1 $S_{\nu,peak}$ [1.8/54.7]? Brightest pixel flux
  16-20  F5.3   mJy.beam-1 $S_{\nu, err}$ [0.35/1.16]? Noise
  22-26  F5.3       arcsec FWHM$_{maj}$   [0.03/0.31]? Source FWHM (maj)
  28-32  F5.3       arcsec FWHM$_{min}$   [0.01/0.18]? Source FWHM (min)
  34-65  A32        ---    RA (ICRS)      RA coordinate (ICRS)
  67-98  A32        ---    Dec (ICRS)     Dec coordinate (ICRS)
    100  I1         ---    Score          [1/2]? 2=core, 1=likely core
102-109  A8         ---    Source         Type of source
111-113  I3         ---    ID$_{Band 3}$  [2/323]? Source ID match from Band 3
115-117  I3         K      $T_B$          [13/409]? Brightness temperature
119-123  F5.2       ---    $\alpha$       [-1.01/4.3]? Spectral index
125-128  F4.2       ---    $\alpha_{err}$ [0.01/0.4]? Spectral index error
130-133  F4.1      solMass Mass           [0.8/39.71]? Core mass
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
278  38.0  8.5 0.353 0.151 0.091 17:47:19.6416                    -28:22:24.384                    2 core     185  63  2.36 0.06 21.0
280   3.9  2.1 0.353 0.071 0.047 17:47:19.4664                    -28:22:15.456                    1 core     197  16  2.60 0.20  3.2
281   8.5  2.6 0.353 0.141 0.050 17:47:19.476                     -28:22:15.24                     2 core     200  19  2.30 0.20  6.1
284   4.9  2.1 0.353 0.088 0.050 17:47:19.4832                    -28:22:14.592                    1 core     207  15  2.90 0.20  4.2
285  18.5  7.9 0.353 0.110 0.064 17:47:19.5072                    -28:22:14.484                    2 core     208  58  2.59 0.08 10.3
288   4.4  3.7 0.353 0.062 0.041 17:47:19.6368                    -28:22:12.432                    2 core     221  27  1.80 0.20  2.8
290   6.0  4.1 0.353 0.059 0.055 17:47:19.4088                    -28:22:14.664                    2 core     224  31  2.10 0.10  3.6
291   7.4  3.8 0.353 0.077 0.059 17:47:19.4832                    -28:22:13.8                      2 core     225  28  2.40 0.20  4.6
292   6.4  3.9 0.353 0.070 0.057 17:47:19.548                     -28:22:12.216                    2 core     228  29  2.40 0.10  3.9
294  17.4  3.8 0.353 0.188 0.056 17:47:19.6056                    -28:22:11.604                    2 core     231  28  2.30 0.10 10.8
296   5.1  2.9 0.353 0.072 0.049 17:47:19.812                     -28:22:10.56                     2 core     237  21  2.30 0.20  3.5
297   5.3  3.0 0.353 0.072 0.051 17:47:19.2912                    -28:22:18.372                    2 core     223  22  2.90 0.20  3.5
298   7.7  3.2 0.353 0.112 0.052 17:47:19.452                     -28:22:13.152                    2 core     227  24  2.70 0.20  5.0
299   6.2  3.8 0.353 0.066 0.054 17:47:20.3112                    -28:22:11.316                    2 core     232  28  2.00 0.10  3.9
300   7.6  4.0 0.353 0.074 0.056 17:47:19.9248                    -28:22:09.876                    2 core     246  29  2.10 0.10  4.7
302  48.5 14.9 0.353 0.131 0.073 17:47:19.2552                    -28:22:14.916                    2 core     251 111  2.86 0.04 26.0
303   2.5  1.9 0.353 0.053 0.045 17:47:19.2816                    -28:22:14.268                    1 core     253  14  2.80 0.30  2.4
304   7.4  2.9 0.353 0.114 0.045 17:47:19.4616                    -28:22:11.964                    2 core     229  21  1.90 0.20  5.0
305   4.2  2.5 0.353 0.064 0.050 17:47:19.7232                    -28:22:10.056                    2 core     243  18  2.10 0.20  3.0
307   4.3  2.7 0.379 0.068 0.047 17:47:19.3152                    -28:22:12.72                     2 core     255  20  3.00 0.20  3.1
308   8.7  3.6 0.379 0.080 0.065 17:47:19.9128                    -28:22:08.364                    2 core     262  27  2.30 0.10  5.6
309   8.3  6.3 0.379 0.074 0.041 17:47:19.896                     -28:22:08.328                    2 core     263  47  2.20 0.10  4.8
310   7.6  3.1 0.401 0.105 0.047 17:47:19.1664                    -28:22:15.384                    2 core     249  23  2.30 0.20  5.3
311  14.4  6.2 0.401 0.187 0.048 17:47:19.1376                    -28:22:15.204                    2 core     270  46  2.00 0.10  8.3
312  25.1  7.9 0.394 0.103 0.082 17:47:19.224                     -28:22:11.928                    2 core     275  59  2.32 0.07 14.1
313   1.9  2.0 0.394 0.060 0.029 17:47:19.1832                    -28:22:11.892                    2 core     276  14  1.90 0.30  2.1
314   8.1  5.2 0.394 0.074 0.048 17:47:19.2072                    -28:22:11.748                    2 core     278  38  2.50 0.10  4.8
316   5.9  5.0 0.413 0.062 0.041 17:47:19.02                      -28:22:14.844                    2 core     272  37  2.50 0.20  3.6
317   1.0  2.1 0.413 0.044 0.018 17:47:19.0608                    -28:22:13.476                    2 core     273  15  2.50 0.30  1.0
320   7.0  3.4 0.419 0.075 0.057 17:47:19.008                     -28:22:14.592                    2 core     281  25  2.30 0.20  4.8
322  27.5  5.5 0.427 0.169 0.091 17:47:18.9816                    -28:22:13.296                    2 core     288  40  1.90 0.10 16.4
324  16.5  8.7 0.427 0.085 0.052 17:47:20.0904                    -28:22:04.836                    2 core     290  65  2.18 0.07  9.2
325   5.0  5.1 0.427 0.067 0.028 17:47:20.1024                    -28:22:04.764                    2 core     291  38  2.70 0.10  3.0
